id_cliente,nombre_estudiante_om,edad_declarada,ingreso_mensual_ars,sucursal_registro,fecha_inscripcion,id_sesion_basura_99,color_favorito_hex
1395,julieta aparo,70.0,No declara,san rafael,12/08/2026,SYS-ID-41571,#33FF57
CLI_1537,juan gomez,74.0,40621,Mendza,13/08/2026,SYS-ID-80644,#57FF33
1721,facundo cortinas,195.0,19737,San Rafael,10/08/2026,SYS-ID-26483,#3357FF
1334,Lucas Garcia,55.0,16278,MENDOZA,2026-08-12,SYS-ID-80644,#F0FF33
1410,Damián García,56.0,,Mendozza,13-08-2026,SYS-ID-13278,#FF33F5
1060,abril cioffi,35.0,44361,G. Cruz,10/08/2026,SYS-ID-70142,#F0FF33
1257,Lucas Garcia ,55.0,35038,Godoy Cruz ,2026.08.10,SYS-ID-47930,#33FFF0
1970,Juan Gomez,31.0,33073,san rafael,2026-08-13,SYS-ID-31319,#FF33F5
1686,Agustin Lopez ,63.0,9999999,Gpe Cruz,2026/08/10,SYS-ID-56566,#3333FF
1343,Lucas Garcia,73.0,,S. Rafael,12/08/2026,SYS-ID-94259,#33FF57
1636,Luciano Yllarreta,20.0,,maipu,2026-08-12,SYS-ID-57576,#3357FF
1709,Damián García,32.0,No declara,Godoy Cruz ,13/08/2026,SYS-ID-44438,#F0FF33
1011,Rocío Sgrignieri,74.0,14604,Maipú ,12/08/2026,SYS-ID-23238,#FF33F5
1486,Lucas Garcia ,61.0,21051,S. Rafael,2026.08.10,SYS-ID-70142,#3357FF
1210,D. Garcia,58.0,,Mendozza,13/08/2026,SYS-ID-93748,#F0FF33
1140,Sofia Martinez,41.0,29479,mendoza,2026/08/10,SYS-ID-70142,#3357FF
1389,Abril Cioffi,194.0,38003,Godoy Cruz,2026/08/11,SYS-ID-10425,#3357FF
,María Rodríguez,35.0,34795,Godoy Cruz,2026/08/11,SYS-ID-24371,#33FF57
cli-1825,ana perez,55.0,43797,Mendoza ,FALTA_REGISTRO,SYS-ID-46434,#FF5733
1718,Rocío Sgrignieri,-7.0,35676,G. Cruz,13/08/2026,SYS-ID-37869,#33FF57
cli-1846,S. Martinez,55.0,21736,Maypu,2026/08/11,SYS-ID-98696,#33FF57
1688,Juan Gomez  ,50.0,18192,G. Cruz,11-08-2026,SYS-ID-93886,#33FFF0
1936,Damian Garcia,47.0,No declara,Mendozza,2026-08-13,SYS-ID-31643,#57FF33
1582,Julieta Aparo,36.0,23136,Maipu  ,2026/08/11,SYS-ID-36062,#57FF33
1383,Rocío Sgrignieri,-6.0,,San Rafael,13-08-2026,SYS-ID-80010,#33FFF0
1071,Luciano Yllarreta,60.0,21968,Gpe Cruz,2026.08.10,SYS-ID-16175,#F0FF33
1261,ana perez,,,San Rafael ,10/08/2026,SYS-ID-18675,#33FFF0
1801,Agustin Lopez ,,36181,MENDOZA,,SYS-ID-91070,#57FF33
1454,Rocio Sgrignieri,47.0,,Maypu,2026-08-11,SYS-ID-42098,#F0FF33
1592,ana perez,46.0,20041,Gpe Cruz,2026-08-12,SYS-ID-83579,#F0FF33
1907,Abril Cioffi,57.0,35625,mendoza,2026.08.10,SYS-ID-44671,#57FF33
1785,Juan Gomez,73.0,37631,Mendozza,2026.08.10,SYS-ID-60432,#57FF33
1214,Julieta A.,,16981,S Rafael,2026-08-13,SYS-ID-79163,#F0FF33
CLI_1097,Rocío S.,55.0,33311,godoy cruz,2026-08-12,SYS-ID-80644,#57FF33
1680,Lucas Garcia,27.0,,G. Cruz,13/08/26,SYS-ID-80644,#33FFF0
1850,juan gomez,70.0,44018,mendoza,10-08-2026,SYS-ID-26828,#FF33F5
cli-1639,julieta aparo,65.0,34364,godoy cruz,12-08-2026,SYS-ID-83000,#57FF33
1881,Lucas Garcia,50.0,24364,Maipu  ,2026.08.10,SYS-ID-35203,#33FF57
1193,Ana Perez,36.0,32899,Maipu  ,12/08/2026,SYS-ID-16006,#33FFF0
cli-1281,Lucas Garcia ,137.0,26567,Mendza,2026-08-13,SYS-ID-17331,#33FF57
CLI_1534,D. Garcia,18.0,35543,Mendoza ,2026-08-10,SYS-ID-16006,#57FF33
CLI_1683,Agustin Lopez,67.0,22101,Mendoza ,13/08/2026,SYS-ID-73699,#33FFF0
1618,L. Garcia,19.0,32419,Godoy Cruz,13-08-2026,SYS-ID-24621,#F0FF33
1983,facundo cortinas,30.0,34311,San Rafael,12/08/2026,SYS-ID-72296,#33FFF0
cli-1911,Abril C.,29.0,35108,S Rafael,13/08/26,SYS-ID-74042,#57FF33
1185,Damián García,61.0,44035,mendoza,13-08-2026,SYS-ID-13905,#3333FF
1031,Damián García,56.0,41004,Maipú ,13/08/2026,SYS-ID-71348,#3333FF
1329,ana perez,30.0,37013,Maipú,10/08/2026,SYS-ID-23396,#3357FF
1507,Abril Cioffi,72.0,35190,Mendza,13/08/26,SYS-ID-99192,#3333FF
1055,Agustin Lopez ,42.0,41014,S. Rafael,13/08/2026,SYS-ID-99593,#FF5733
1024,Facundo Cortiñas,,24912,Godoy Cruz,12/08/2026,SYS-ID-75612,#F0FF33
1102,Sofía Martínez,24.0,36088,Mendoza ,2026/08/11,SYS-ID-94259,#FF5733
1550,Juan Gomez  ,-7.0,40297,Maipú ,11-08-2026,SYS-ID-42087,#33FFF0
1248,Sofia Martinez,18.0,18104,G. Cruz,12-08-2026,SYS-ID-38657,#57FF33
1004,Agustin Lopez,64.0,42976,san rafael,13/08/2026,SYS-ID-80284,#33FF57
cli-1087,Juan Gomez  ,37.0,19610,Mendoza ,2026.08.10,SYS-ID-62581,#3333FF
1844,Sofía Martínez,27.0,24822,Maypu,FALTA_REGISTRO,SYS-ID-84364,#33FF57
,María Rodríguez,71.0,32805,S Rafael,13/08/2026,SYS-ID-96673,#57FF33
1291,Juan Gomez  ,-12.0,13306,Maipú,12/08/2026,SYS-ID-10425,#FF33F5
1211,Lucas Garcia,20.0,43162,San Rafael ,FALTA_REGISTRO,SYS-ID-88907,#33FFF0
1803,Lucas Garcia ,58.0,32838,Gpe Cruz,,SYS-ID-42098,#3333FF
,D. Garcia,28.0,43175,Gpe Cruz,2026-08-12,SYS-ID-93227,#33FFF0
1200,Rocío Sgrignieri,67.0,42556,maipu,2026-08-12,SYS-ID-23238,#F0FF33
1903,Juan Gomez,24.0,34176,mendoza,13/08/26,SYS-ID-72296,#3333FF
1698,Facundo Cortiñas,53.0,,Maypu,13/08/26,SYS-ID-46463,#3333FF
1064,L. Garcia,43.0,12075,maipu,10/08/2026,SYS-ID-80284,#F0FF33
cli-1266,Rocío S.,25.0,13923,S Rafael,11-08-2026,SYS-ID-65333,#33FF57
,Julieta Aparo,61.0,27985,Maipú,2026-08-11,SYS-ID-80010,#57FF33
1804,Agustin Lopez ,63.0,27244,Mendoza,10-08-2026,SYS-ID-94939,#FF33F5
1626,Facundo Cortiñas,32.0,32596,Mendoza ,2026.08.10,SYS-ID-74686,#F0FF33
1569,Luciano Y.,61.0,21000,S Rafael,11/08/2026,SYS-ID-82063,#FF5733
1855,Agustin Lopez,56.0,35531,San Rafael ,13/08/2026,SYS-ID-88907,#33FFF0
1040,Sofía Martínez,54.0,42476,San Rafael ,2026-08-11,SYS-ID-30730,#33FF57
1807,luciano yllarreta,36.0,27008,S Rafael,11/08/2026,SYS-ID-60019,#FF5733
1169,Damián García,38.0,43350,Maipú,2026-08-11,SYS-ID-44438,#F0FF33
cli-1591,Julieta Aparo,25.0,25749,san rafael,11-08-2026,SYS-ID-16175,#57FF33
1465,Luciano Y.,,,S. Rafael,2026.08.10,SYS-ID-44993,#FF5733
1999,Julieta A.,43.0,30104,S. Rafael,12/08/2026,SYS-ID-69470,#33FF57
,Ana Perez,19.0,66750,S. Rafael,13-08-2026,SYS-ID-20322,#FF5733
1909,julieta aparo,69.0,17004,Mendoza,2026.08.10,SYS-ID-89507,#3357FF
1067,María Rodríguez,63.0,29919,Godoy Cruz ,13/08/26,SYS-ID-39871,#3333FF
1308,Juan Gomez  ,75.0,21663,Mendoza ,13-08-2026,SYS-ID-89131,#3357FF
1068,Luciano Yllarreta,56.0,20946,mendoza,13/08/2026,SYS-ID-70589,#33FFF0
1199,Julieta Aparo,18.0,24453,Mendoza ,13/08/26,SYS-ID-39871,#FF33F5
1529,Facundo Cortiñas,45.0,34426,maipu,2026-08-11,SYS-ID-30032,#33FF57
1482,facundo cortinas,63.0,,san rafael,2026-08-12,SYS-ID-42087,#3333FF
1758,Facundo C.,26.0,15964,Mendza,13/08/2026,SYS-ID-92240,#F0FF33
1988,Lucas Garcia,,39694,San Rafael,2026-08-13,SYS-ID-44671,#33FFF0
,María Rodríguez,,,San Rafael ,2026-08-11,SYS-ID-58520,#33FFF0
1845,María Rodríguez,45.0,23024,MENDOZA,13/08/26,SYS-ID-44671,#FF5733
1559,Juan Gomez,60.0,21935,S Rafael,2026-08-10,SYS-ID-92240,#3333FF
1619,abril cioffi,,26572,Mendza,2026.08.10,SYS-ID-52487,#FF33F5
1353,D. Garcia,60.0,34338,Godoy Cruz,2026/08/11,SYS-ID-80644,#F0FF33
1761,Julieta Aparo,48.0,42631,Maipú ,12/08/2026,SYS-ID-10425,#33FFF0
CLI_1930,Juan Gomez,73.0,17712,Gpe Cruz,12/08/2026,SYS-ID-55082,#33FFF0
1293,Damián García,22.0,37925,Maipu  ,2026-08-12,SYS-ID-93227,#3357FF
1753,Facundo C.,23.0,14185,godoy cruz,2026/08/10,SYS-ID-65392,#FF5733
1101,Facundo Cortiñas,64.0,,S. Rafael,12-08-2026,SYS-ID-38893,#FF33F5
cli-1846,S. Martinez,55.0,21736,Maypu,2026/08/11,SYS-ID-98696,#33FF57
1677,D. Garcia,49.0,No declara,Mendza,2026/08/10,SYS-ID-82357,#33FFF0
CLI_1809,Sofia Martinez,,73180,San Rafael,2026-08-11,SYS-ID-54587,#FF33F5
1306,Rocío S.,27.0,18337,mendoza,13/08/2026,SYS-ID-96474,#FF33F5
1629,Sofia Martinez,43.0,17570,Mendoza ,2026-08-13,SYS-ID-74042,#33FF57
1159,S. Martinez,74.0,13518,mendoza,13-08-2026,SYS-ID-96673,#FF33F5
1552,Juan Gomez,71.0,,Godoy Cruz ,10-08-2026,SYS-ID-88504,#3333FF
1003,Ana Perez,75.0,,S Rafael,,SYS-ID-16006,#33FFF0
1729,S. Martinez,25.0,23779,Mendoza,11/08/2026,SYS-ID-39871,#3333FF
1209,facundo cortinas,62.0,17283,Maypu,10/08/2026,SYS-ID-95181,#57FF33
CLI_1300,Juan Gomez  ,38.0,18863,mendoza,2026-08-13,SYS-ID-22676,#33FF57
1851,L. Garcia,56.0,12348,maipu,12/08/2026,SYS-ID-30926,#FF5733
1437,Facundo Cortiñas,58.0,34752,Gpe Cruz,2026/08/10,SYS-ID-28301,#33FFF0
1870,Rocío Sgrignieri,72.0,19724,S. Rafael,2026-08-12,SYS-ID-59823,#FF33F5
1412,Maria Rodriguez,-11.0,35142,godoy cruz,11/08/2026,SYS-ID-30969,#FF5733
1615,maria rodriguez,56.0,33142,S Rafael,2026-08-12,SYS-ID-69429,#F0FF33
1908,maria rodriguez,27.0,31763,Maipú ,12-08-2026,SYS-ID-38893,#33FFF0
1913,luciano yllarreta,67.0,26374,mendoza,2026-08-10,SYS-ID-82357,#FF5733
1997,juan gomez,44.0,21282,Godoy Cruz,2026/08/11,SYS-ID-99353,#57FF33
1963,Damian Garcia,,21984,San Rafael,10-08-2026,SYS-ID-91070,#FF5733
1701,Maria Rodriguez,36.0,17648,Gpe Cruz,11/08/2026,SYS-ID-59797,#3333FF
1779,D. Garcia,64.0,34325,mendoza,11/08/2026,SYS-ID-94259,#57FF33
1307,Luciano Yllarreta,44.0,43118,Maipu  ,13/08/26,SYS-ID-97841,#33FF57
1465,Luciano Y.,,,S. Rafael,2026.08.10,SYS-ID-44993,#FF5733
1494,Luciano Y.,20.0,15230,San Rafael,2026-08-13,SYS-ID-44993,#33FFF0
1424,Julieta Aparo,49.0,39465,Godoy Cruz,2026-08-13,SYS-ID-57819,#3333FF
1299,Luciano Yllarreta,42.0,No declara,Gpe Cruz,2026/08/11,SYS-ID-22676,#3333FF
1468,Agustin Lopez,64.0,43623,Mendozza,10-08-2026,SYS-ID-24621,#33FFF0
CLI_1885,Abril C.,48.0,18603,Godoy Cruz ,13/08/26,SYS-ID-99733,#F0FF33
1756,Facundo Cortiñas,57.0,No declara,Maypu,2026-08-10,SYS-ID-80644,#F0FF33
1107,Sofia Martinez,37.0,,godoy cruz,10/08/2026,SYS-ID-24592,#FF33F5
1859,julieta aparo,67.0,26795,San Rafael ,FALTA_REGISTRO,SYS-ID-40021,#FF33F5
1056,Lucas Garcia,31.0,29343,mendoza,2026-08-11,SYS-ID-79352,#33FF57
1121,María Rodríguez,55.0,34925,S. Rafael,2026-08-13,SYS-ID-54597,#33FF57
cli-1311,María Rodríguez,55.0,18566,Mendoza ,10-08-2026,SYS-ID-58520,#F0FF33
1026,Luciano Yllarreta,75.0,9999999,Maipu  ,2026-08-10,SYS-ID-44993,#33FFF0
1073,Rocio Sgrignieri,62.0,17263,S Rafael,2026-08-13,SYS-ID-89840,#3333FF
1531,Luciano Yllarreta,59.0,17933,San Rafael,2026-08-10,SYS-ID-96474,#3357FF
1045,Rocío S.,33.0,17679,San Rafael ,2026/08/11,SYS-ID-26828,#3333FF
1276,Luciano Y.,,40507,Mendza,11-08-2026,SYS-ID-19358,#57FF33
1479,Damián García,,9999999,S. Rafael,11-08-2026,SYS-ID-14165,#3333FF
1315,luciano yllarreta,23.0,84630,Godoy Cruz ,12-08-2026,SYS-ID-13905,#3357FF
1337,Ana Perez,21.0,13293,MENDOZA,13/08/2026,SYS-ID-28301,#57FF33
1690,abril cioffi,64.0,41487,Maipú ,12/08/2026,SYS-ID-70217,#FF33F5
1431,ana perez,,32544,S Rafael,11-08-2026,SYS-ID-66985,#57FF33
1951,Julieta A.,47.0,37939,Mendoza,2026/08/11,SYS-ID-24371,#33FFF0
1834,Rocío S.,34.0,20067,Mendza,13/08/26,SYS-ID-95181,#F0FF33
1589,Damian Garcia,31.0,17305,Maipú ,10/08/2026,SYS-ID-92240,#F0FF33
1704,L. Garcia,49.0,34303,Godoy Cruz,11-08-2026,SYS-ID-23396,#33FF57
1328,abril cioffi,74.0,29076,Maipu  ,10-08-2026,SYS-ID-86484,#FF5733
1016,Ana Perez,-9.0,14889,Mendoza,2026.08.10,SYS-ID-91959,#33FFF0
CLI_1604,Ana Perez,30.0,26558,San Rafael ,2026/08/10,SYS-ID-60432,#3333FF
1928,Agustin Lopez ,69.0,21231,Mendozza,12/08/2026,SYS-ID-42325,#3357FF
1981,Sofia Martinez,38.0,43634,san rafael,2026-08-12,SYS-ID-41385,#33FF57
1972,Abril C.,21.0,44679,MENDOZA,13/08/2026,SYS-ID-10851,#33FF57
1763,facundo cortinas,33.0,33726,godoy cruz,2026-08-11,SYS-ID-24592,#F0FF33
1332,Ana Perez ,185.0,38436,Godoy Cruz ,2026-08-13,SYS-ID-24592,#FF5733
1061,juan gomez,-5.0,13359,San Rafael ,2026-08-11,SYS-ID-86484,#3333FF
1746,Sofia Martinez,30.0,23503,mendoza,2026/08/10,SYS-ID-65392,#33FFF0
1372,Rocío Sgrignieri,61.0,36993,Mendoza ,2026-08-12,SYS-ID-28289,#F0FF33
1093,L. Garcia,19.0,No declara,Godoy Cruz,2026/08/11,SYS-ID-94012,#F0FF33
cli-1723,abril cioffi,37.0,13833,Mendza,13/08/2026,SYS-ID-65302,#33FFF0
,Juan Gomez,44.0,25292,San Rafael,,SYS-ID-44718,#3333FF
1463,Damian Garcia,46.0,32653,maipu,12/08/2026,SYS-ID-17331,#57FF33
1219,Luciano Yllarreta,64.0,27908,Maipu  ,2026-08-13,SYS-ID-55082,#3357FF
1514,Julieta Aparo,58.0,22876,Maipu  ,2026-08-11,SYS-ID-24621,#33FF57
,Lucas Garcia,,15884,Gpe Cruz,11-08-2026,SYS-ID-87397,#33FF57
cli-1426,María Rodríguez,18.0,9999999,Gpe Cruz,12/08/2026,SYS-ID-28131,#33FFF0
1333,julieta aparo,75.0,24489,Mendoza,2026/08/11,SYS-ID-85674,#F0FF33
1860,Lucas Garcia,25.0,9999999,S. Rafael,13/08/26,SYS-ID-81426,#F0FF33
1990,Damian Garcia,-12.0,38513,godoy cruz,2026/08/11,SYS-ID-21226,#33FFF0
1583,Sofia Martinez,31.0,42327,San Rafael ,FALTA_REGISTRO,SYS-ID-94259,#FF33F5
1356,Agustín López,180.0,24489,S Rafael,13/08/2026,SYS-ID-87397,#33FF57
1483,Maria Rodriguez,,35290,Maypu,11-08-2026,SYS-ID-22280,#33FFF0
1546,maria rodriguez,62.0,23849,Maipú,12/08/2026,SYS-ID-83563,#3357FF
1111,Maria Rodriguez,57.0,35714,mendoza,10-08-2026,SYS-ID-39871,#57FF33
1515,abril cioffi,38.0,29792,Godoy Cruz ,2026/08/11,SYS-ID-17331,#3333FF
1603,Juan Gomez  ,200.0,No declara,Mendoza,2026/08/11,SYS-ID-42325,#F0FF33
1996,facundo cortinas,,33871,Maipú,13/08/26,SYS-ID-87236,#33FFF0
1508,maria rodriguez,32.0,24684,Mendoza,13-08-2026,SYS-ID-33416,#33FF57
1335,Lucas Garcia ,75.0,24348,Mendozza,2026-08-13,SYS-ID-42098,#FF33F5
1849,maria rodriguez,59.0,31553,Maipu  ,12/08/2026,SYS-ID-38657,#3357FF
1295,Abril Cioffi,130.0,37663,Maipu  ,FALTA_REGISTRO,SYS-ID-66985,#F0FF33
1287,maria rodriguez,,13920,San Rafael ,,SYS-ID-86484,#F0FF33
CLI_1939,julieta aparo,48.0,25860,Mendoza,13/08/2026,SYS-ID-69429,#33FFF0
1448,abril cioffi,74.0,,San Rafael,2026/08/11,SYS-ID-23947,#57FF33
1693,Ana Perez ,131.0,52600,San Rafael,11/08/2026,SYS-ID-38746,#3357FF
1653,Lucas Garcia ,54.0,19906,Maipú,11-08-2026,SYS-ID-21915,#33FF57
1969,maria rodriguez,22.0,36357,Godoy Cruz,12/08/2026,SYS-ID-30926,#FF5733
1278,facundo cortinas,25.0,25607,G. Cruz,11-08-2026,SYS-ID-10851,#33FF57
1759,Damian Garcia,27.0,34472,S. Rafael,2026-08-10,SYS-ID-30969,#3357FF
1138,Agustín López,38.0,38098,maipu,10/08/2026,SYS-ID-26828,#FF33F5
1502,D. Garcia,31.0,,Mendza,,SYS-ID-45382,#FF5733
cli-1405,Facundo Cortiñas,34.0,39758,Maipu  ,11-08-2026,SYS-ID-10074,#57FF33
1524,Agustín López,60.0,17147,G. Cruz,2026/08/10,SYS-ID-12552,#3333FF
1781,luciano yllarreta,66.0,31637,S Rafael,10/08/2026,SYS-ID-30379,#3357FF
CLI_1978,julieta aparo,52.0,15440,San Rafael ,10/08/2026,SYS-ID-87236,#FF5733
1581,Agustín López,20.0,15909,San Rafael ,13-08-2026,SYS-ID-44438,#57FF33
1238,Sofia Martinez,62.0,23353,maipu,2026-08-12,SYS-ID-30379,#3357FF
1989,Sofia Martinez,24.0,28314,Mendoza ,10/08/2026,SYS-ID-81482,#33FFF0
CLI_1216,Abril Cioffi,63.0,,San Rafael ,2026.08.10,SYS-ID-19071,#57FF33
1895,Ana Perez,33.0,25760,maipu,12-08-2026,SYS-ID-76542,#F0FF33
1245,Abril Cioffi,35.0,18240,Mendza,13/08/2026,SYS-ID-22280,#33FFF0
1553,Abril Cioffi,20.0,,mendoza,,SYS-ID-24621,#FF33F5
1838,Agustin Lopez ,-15.0,42186,S Rafael,2026-08-12,SYS-ID-57400,#3333FF
1864,Julieta A.,50.0,40034,Maipú,2026/08/11,SYS-ID-99593,#33FF57
1668,Facundo Cortiñas,56.0,30544,San Rafael,13/08/2026,SYS-ID-54118,#FF5733
1622,Juan Gomez,68.0,No declara,Maipú ,11/08/2026,SYS-ID-70217,#F0FF33
1079,Julieta A.,62.0,37939,San Rafael ,FALTA_REGISTRO,SYS-ID-88504,#FF5733
1030,Agustin Lopez ,62.0,15291,maipu,10-08-2026,SYS-ID-80644,#3357FF
CLI_1451,María Rodríguez,68.0,No declara,Gpe Cruz,12-08-2026,SYS-ID-44718,#FF33F5
1290,juan gomez,40.0,21312,Maipu  ,13/08/26,SYS-ID-60019,#33FFF0
1050,Abril C.,198.0,24133,San Rafael,13/08/26,SYS-ID-93320,#33FFF0
1671,Ana Perez,33.0,35219,Maipú ,10/08/2026,SYS-ID-24592,#33FFF0
1799,Juan Gomez  ,24.0,33147,maipu,11/08/2026,SYS-ID-60019,#57FF33
1290,juan gomez,40.0,21312,Maipu  ,13/08/26,SYS-ID-60019,#33FFF0
1166,luciano yllarreta,68.0,13746,Maipú ,2026/08/11,SYS-ID-41571,#FF5733
1931,Rocío S.,40.0,,Mendozza,13-08-2026,SYS-ID-23238,#3333FF
1179,Rocio Sgrignieri,18.0,31334,Maipu  ,11/08/2026,SYS-ID-89131,#57FF33
1694,Facundo Cortiñas,72.0,24511,mendoza,13-08-2026,SYS-ID-54118,#3333FF
cli-1066,Rocío Sgrignieri,37.0,38738,mendoza,10-08-2026,SYS-ID-86622,#33FF57
1142,Juan Gomez  ,40.0,40504,San Rafael ,10/08/2026,SYS-ID-88907,#57FF33
1986,Rocío Sgrignieri,,29482,Mendoza,13-08-2026,SYS-ID-93886,#33FFF0
1352,L. Garcia,65.0,18726,godoy cruz,2026-08-10,SYS-ID-95181,#33FFF0
1862,Damian Garcia,74.0,43251,Maipu  ,2026-08-10,SYS-ID-88504,#3357FF
CLI_1441,Rocío Sgrignieri,69.0,29816,S. Rafael,11-08-2026,SYS-ID-37869,#FF33F5
1347,Luciano Yllarreta,57.0,,Mendza,13/08/26,SYS-ID-87236,#57FF33
cli-1255,julieta aparo,26.0,20725,Maypu,2026.08.10,SYS-ID-40495,#FF5733
1695,L. Garcia,27.0,41180,Gpe Cruz,13-08-2026,SYS-ID-44973,#FF33F5
1345,Ana Perez ,39.0,115660,godoy cruz,11-08-2026,SYS-ID-51347,#3333FF
1222,Luciano Yllarreta,39.0,40220,Maypu,2026.08.10,SYS-ID-97841,#F0FF33
1236,facundo cortinas,70.0,31493,Maipú ,2026.08.10,SYS-ID-19358,#33FF57
CLI_1548,Rocio Sgrignieri,25.0,,G. Cruz,2026-08-12,SYS-ID-62350,#FF33F5
cli-1500,Lucas Garcia ,18.0,28587,Mendoza,13/08/26,SYS-ID-88104,#FF5733
,Agustin Lopez ,51.0,38980,Maipu  ,12/08/2026,SYS-ID-28131,#3333FF
1941,Ana Perez,-1.0,31457,Mendozza,13/08/2026,SYS-ID-38746,#3333FF
1250,Ana Perez,,42119,Mendoza,2026-08-11,SYS-ID-44718,#3333FF
1536,Luciano Yllarreta,41.0,22110,S. Rafael,2026.08.10,SYS-ID-46421,#FF5733
1382,ana perez,22.0,24937,Maipu  ,12/08/2026,SYS-ID-83000,#3357FF
1072,Facundo C.,-1.0,21447,Godoy Cruz ,2026.08.10,SYS-ID-88907,#3333FF
1095,Agustin Lopez ,20.0,31767,G. Cruz,2026-08-10,SYS-ID-22280,#3333FF
1034,ana perez,39.0,39248,MENDOZA,13/08/2026,SYS-ID-62581,#FF5733
1260,Juan Gomez,38.0,No declara,Maipu  ,2026-08-11,SYS-ID-82063,#3333FF
1205,ana perez,60.0,,Mendoza,2026/08/11,SYS-ID-40495,#3357FF
1360,Lucas Garcia ,62.0,31589,maipu,11/08/2026,SYS-ID-20328,#FF33F5
1602,Abril Cioffi,66.0,21639,Maipu  ,13-08-2026,SYS-ID-31417,#33FF57
1399,luciano yllarreta,68.0,23919,Maipú ,11-08-2026,SYS-ID-57052,#F0FF33
1078,abril cioffi,45.0,41939,S. Rafael,2026-08-13,SYS-ID-38746,#33FF57
1085,facundo cortinas,65.0,36970,Maypu,10-08-2026,SYS-ID-80697,#FF33F5
1320,Rocío S.,50.0,,Mendoza,2026.08.10,SYS-ID-93748,#3357FF
1083,Rocio Sgrignieri,48.0,31342,S Rafael,13-08-2026,SYS-ID-88907,#3357FF
1948,Luciano Yllarreta,60.0,40671,Maypu,10-08-2026,SYS-ID-36062,#33FF57
1708,Sofía Martínez,50.0,9999999,San Rafael ,13/08/2026,SYS-ID-38785,#FF33F5
1539,Rocío Sgrignieri,35.0,36049,MENDOZA,13/08/26,SYS-ID-57576,#F0FF33
1544,Abril Cioffi,57.0,,Gpe Cruz,2026/08/10,SYS-ID-57819,#33FFF0
1826,Juan Gomez  ,-7.0,36619,Maipú ,11-08-2026,SYS-ID-28131,#3333FF
1429,Agustín López,59.0,23438,S. Rafael,13/08/26,SYS-ID-79163,#3333FF
1310,ana perez,-7.0,33373,San Rafael ,2026-08-10,SYS-ID-24662,#57FF33
1006,Lucas Garcia,30.0,21186,Godoy Cruz ,13-08-2026,SYS-ID-47930,#33FF57
1789,maria rodriguez,29.0,40316,G. Cruz,2026-08-11,SYS-ID-12552,#33FF57
